四川电信,#genre#
HD看电影,http://171.213.200.219:8888/udp/239.93.42.47:5140
华语影院,http://171.213.200.219:8888/udp/239.93.0.138:5140
星光院线,http://171.213.200.219:8888/udp/239.93.0.139:5140
全球大片,http://171.213.200.219:8888/udp/239.93.0.105:5140
热播剧场,http://171.213.200.219:8888/udp/239.93.0.56:9020
热门剧场,http://171.213.200.219:8888/udp/239.93.0.140:5140
港剧风云,http://171.213.200.219:8888/udp/239.93.0.143:5140
谍战剧场,http://171.213.200.219:8888/udp/239.93.0.95:5140
宝宝动画,http://171.213.200.219:8888/udp/239.93.0.147:5140
少儿动画,http://171.213.200.219:8888/udp/239.93.0.193:9000
青春动漫,http://171.213.200.219:8888/udp/239.93.0.146:5140
热门综艺,http://171.213.200.219:8888/udp/239.93.0.151:5140
音乐现场,http://171.213.200.219:8888/udp/239.93.0.198:9044
戏曲精选,http://171.213.200.219:8888/udp/239.93.0.144:5140
汽摩,http://171.213.200.219:8888/udp/239.93.0.62:5140
电竞天堂,http://171.213.200.219:8888/udp/239.93.1.135:5140
蓉城先锋,http://171.213.200.219:8888/udp/239.93.0.91:2101
星空精选,http://171.213.200.219:8888/udp/239.93.1.171:5140
东方财经,http://171.213.200.219:8888/udp/239.93.1.165:5140
CGTN西班牙语,http://171.213.200.219:8888/udp/239.93.42.49:5140
CGTN法语,http://171.213.200.219:8888/udp/239.93.42.50:5140
爱怀旧,http://171.213.200.219:8888/udp/239.93.42.21:5140
爱喜剧,http://171.213.200.219:8888/udp/239.93.42.9:5140
爱奇谈,http://171.213.200.219:8888/udp/239.93.42.22:5140
爱科幻,http://171.213.200.219:8888/udp/239.93.42.10:5140
爱院线,http://171.213.200.219:8888/udp/239.93.42.11:5140
都市剧场,http://171.213.200.219:8888/udp/239.93.42.30:5140
爱谍战,http://171.213.200.219:8888/udp/239.93.42.14:5140
爱经典,http://171.213.200.219:8888/udp/239.93.42.13:5140
爱悬疑,http://171.213.200.219:8888/udp/239.93.42.12:5140
爱青春,http://171.213.200.219:8888/udp/239.93.42.16:5140
少儿天地,http://171.213.200.219:8888/udp/239.93.42.34:5140
爱幼教,http://171.213.200.219:8888/udp/239.93.42.17:5140
爱玩具,http://171.213.200.219:8888/udp/239.93.42.18:5140
爱动漫,http://171.213.200.219:8888/udp/239.93.42.23:5140
求索频道,http://171.213.200.219:8888/udp/239.93.42.24:5140
爱电竞,http://171.213.200.219:8888/udp/239.93.42.19:5140
绚影4K,http://171.213.200.219:8888/udp/239.93.42.33:5140
天元围棋,http://171.213.200.219:8888/udp/239.93.42.55:5140
热血剧场,http://171.213.200.219:8888/udp/239.93.1.198:5140
乐龄学堂,http://171.213.200.219:8888/udp/239.93.1.179:5140
亲子趣学4K,http://171.213.200.219:8888/udp/239.93.1.191:5140
