浙江金华,#genre#
爱浪漫,http://112.17.52.68/PLTV/88888888/224/3221233665/index.m3u8
爱历史,http://112.17.52.68/PLTV/88888888/224/3221233685/index.m3u8
爱旅游,http://112.17.52.68/PLTV/88888888/224/3221233703/index.m3u8
爱体育,http://112.17.52.68/PLTV/88888888/224/3221233700/index.m3u8
爱喜剧,http://112.17.52.68/PLTV/88888888/224/3221233658/index.m3u8
爱悬疑,http://112.17.52.68/PLTV/88888888/224/3221233650/index.m3u8
爱院线,http://112.17.52.68/PLTV/88888888/224/3221233680/index.m3u8

未知,http://112.17.52.68/PLTV/88888888/224/3221233638/index.m3u8
未知,http://112.17.52.68/PLTV/88888888/224/3221233671/index.m3u8
未知,http://112.17.52.68/PLTV/88888888/224/3221233674/index.m3u8
未知,http://112.17.52.68/PLTV/88888888/224/3221233688/index.m3u8

河北酒店,#genre#
中央1高清,http://111.225.114.93:808/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
中央2高清,http://111.225.114.93:808/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
中央3标清,http://111.225.114.93:808/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
中央4高清,http://111.225.114.93:808/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
中央5标清,http://111.225.114.93:808/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
中央6标清,http://111.225.114.93:808/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
中央7高清,http://111.225.114.93:808/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
中央8标清,http://111.225.114.93:808/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
中央9高清,http://111.225.114.93:808/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
中央10高清,http://111.225.114.93:808/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
中央11高清,http://111.225.114.93:808/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
中央12高清,http://111.225.114.93:808/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
中央13高清,http://111.225.114.93:808/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
中央14高清,http://111.225.114.93:808/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
中央15高清,http://111.225.114.93:808/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
中央16高清,http://111.225.114.93:808/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0
中央17高清,http://111.225.114.93:808/tsfile/live/0017_1.m3u8?key=txiptv&playlive=1&authid=0
中央5+高清,http://111.225.114.93:808/tsfile/live/0018_1.m3u8?key=txiptv&playlive=1&authid=0
河北卫视高清,http://111.225.114.93:808/tsfile/live/0019_1.m3u8?key=txiptv&playlive=1&authid=0
河北经济生活高清,http://111.225.114.93:808/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
河北都市高清,http://111.225.114.93:808/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
河北影视剧高清,http://111.225.114.93:808/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
河北少儿科教高清,http://111.225.114.93:808/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0
河北公共高清,http://111.225.114.93:808/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0
河北农民高清,http://111.225.114.93:808/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
河北杂技,http://111.225.114.93:808/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0
保定新闻综合,http://111.225.114.93:808/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0
保定公共频道,http://111.225.114.93:808/tsfile/live/1008_1.m3u8?key=txiptv&playlive=1&authid=0
保定生活健康,http://111.225.114.93:808/tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&authid=0
湖南卫视高清,http://111.225.114.93:808/tsfile/live/1010_1.m3u8?key=txiptv&playlive=1&authid=0
浙江卫视高清,http://111.225.114.93:808/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&authid=0
江苏卫视高清,http://111.225.114.93:808/tsfile/live/1012_1.m3u8?key=txiptv&playlive=1&authid=0
安徽卫视高清,http://111.225.114.93:808/tsfile/live/1013_1.m3u8?key=txiptv&playlive=1&authid=0
东南卫视高清,http://111.225.114.93:808/tsfile/live/1014_1.m3u8?key=txiptv&playlive=1&authid=0
北京卫视高清,http://111.225.114.93:808/tsfile/live/1015_1.m3u8?key=txiptv&playlive=1&authid=0
天津卫视高清,http://111.225.114.93:808/tsfile/live/1016_1.m3u8?key=txiptv&playlive=1&authid=0
辽宁卫视高清,http://111.225.114.93:808/tsfile/live/1017_1.m3u8?key=txiptv&playlive=1&authid=0
山东卫视高清,http://111.225.114.93:808/tsfile/live/1018_1.m3u8?key=txiptv&playlive=1&authid=0
河南卫视高清,http://111.225.114.93:808/tsfile/live/0119_1.m3u8?key=txiptv&playlive=1&authid=0
青海卫视,http://111.225.114.93:808/tsfile/live/0140_1.m3u8?key=txiptv&playlive=1&authid=0
内蒙古卫视,http://111.225.114.93:808/tsfile/live/0109_1.m3u8?key=txiptv&playlive=1&authid=0
贵州卫视高清,http://111.225.114.93:808/tsfile/live/1019_1.m3u8?key=txiptv&playlive=1&authid=0
深圳卫视高清,http://111.225.114.93:808/tsfile/live/1020_1.m3u8?key=txiptv&playlive=1&authid=0
湖北卫视高清,http://111.225.114.93:808/tsfile/live/1021_1.m3u8?key=txiptv&playlive=1&authid=0
东方卫视高清,http://111.225.114.93:808/tsfile/live/1022_1.m3u8?key=txiptv&playlive=1&authid=0
重庆卫视高清,http://111.225.114.93:808/tsfile/live/1023_1.m3u8?key=txiptv&playlive=1&authid=0
